"item_name_updated","period","avg_cost"
"Butter Chicken Burrito","P03-2026",1.0300
"Garlic Naan","P03-2026",0.5900
"Mini Samosas","P03-2026",1.1700
"Samosa Chaat","P03-2026",2.1900
"Side of Main","P03-2026",
"BYO Greens + Grains Bowl","P03-2026",0.6100
"BYO Salad Bowl","P03-2026",0.6100
"Chicken Tikka Bowl","P03-2026",0.6100
"Paneer Tikka Bowl","P03-2026",0.6100
"Lamb Kebab Bowl","P03-2026",0.6100
"Spicy Chili Chicken Bowl","P03-2026",0.6100
"That Fire Hot Sauce (Bottle)","P03-2026",3.4100
"Cucumber Raita","P03-2026",0.4300
"Roti","P03-2026",0.6200
"Chips + Chutney","P03-2026",0.7400
"Naan","P03-2026",0.4900
"Side of Veggie","P03-2026",
"Side of Grain","P03-2026",
"Side of Sauce","P03-2026",
"That Fire Hot Sauce - Side","P03-2026",0.4400
"Paneer Tikka Bowl","P03-2026",3.3300
"Spicy Chili Chicken Bowl","P03-2026",2.8600
"Chicken Tikka Bowl","P03-2026",2.8400
"Spiced Cauli + Quinoa Bowl","P03-2026",2.9600
"Chicken Tikka + Avocado Salad","P03-2026",2.8600
"Lamb Kebab Bowl","P03-2026",3.4400
"Harvest Chicken Bowl","P03-2026",3.2600
"Shutdown Bowl - Chicken","P03-2026",2.8400
"Masala Chai Cookies","P03-2026",0.3300
"Swirl Soft Serve","P03-2026",0.8500
"Masala Chai Soft Serve","P03-2026",1.2500
"Sweet Cardamom Yogurt","P03-2026",0.8100
"Vanilla Mango Lassi Soft Serve","P03-2026",0.9300
"Chocolate Chai Soft Serve","P03-2026",0.8400
"Mango Lassi Soft Serve","P03-2026",0.8400
"BYO Grain Bowl","P03-2026",1.7300
"BYO Greens + Grains Bowl","P03-2026",1.7500
"BYO Indian Burrito","P03-2026",2.7100
"BYO Salad Bowl","P03-2026",1.9900
"Tandoori Paneer Burrito","P03-2026",3.3300
"Chicken Tikka Burrito","P03-2026",2.9600
"Spicy Chicken Burrito","P03-2026",2.6000
"Butter Chicken Burrito","P03-2026",3.8300
"Saag Paneer","P03-2026",2.8400
"Chicken Tikka Masala","P03-2026",3.4400
"Lamb Kofta Korma","P03-2026",4.0700
"Pick 2 Combo Plate","P03-2026",0.9200
"Coconut Veggie Curry","P03-2026",3.7500
"Chicken Curry","P03-2026",3.3900
"Aloo Gobhi","P03-2026",2.3500
"Butter Chicken","P03-2026",3.4500
"Paneer Butter Masala","P03-2026",3.6600
"Paneer Tikka Masala","P03-2026",3.6500
"Saag Chole","P03-2026",1.3700
"Kids Meal","P03-2026",0.9600
"Kingfisher","P05-2026",1.5189
"Wild Kombucha - Mango Peach","P03-2026",3.2600
"Spindrift - Lemon","P04-2026",1.1600
"Open Water Sparkling Water","P04-2026",1.1900
"Mango Lassi for a Group - 1/2 Gallon","P04-2026",6.8500
"Naan","P04-2026",0.4900
"Coconut Veggie Curry","P05-2026",3.8584
"Pick 2 Combo Plate","P05-2026",0.9127
"Butter Chicken Burrito","P05-2026",4.1230
"Tandoori Paneer Burrito","P05-2026",3.5512
"Chicken Tikka Burrito","P05-2026",3.2508
"Roti","P05-2026",0.6792
"Olipop - Lemon Lime","P03-2026",1.8600
"Olipop - Root Beer","P03-2026",2.1600
"Homemade Juice","P03-2026",
"Spindrift - Grapefruit","P03-2026",1.0700
"Spindrift - Lemon","P03-2026",1.1200
"Open Water Sparkling Water","P03-2026",1.1700
"Iced Oat Masala Chai","P03-2026",1.9200
"Blossom Lassi","P03-2026",1.3300
"LaCroix - Grapefruit","P03-2026",0.6200
"Wild Kombucha - Ginger","P03-2026",3.2600
"Olipop - Cola","P03-2026",1.8600
"Mango Lassi","P03-2026",1.4100
"Open Water Still Water","P03-2026",1.2100
"Icaro - Spearmint Yerba Mate","P03-2026",2.1200
"Mont Gravet Rose-gl","P03-2026",1.6800
"Indaba Sauvignon Blanc-gl","P03-2026",1.5500
"Indaba Sauvignon Blanc Bottle","P03-2026",6.5400
"Borsao Granache-gl","P03-2026",1.6500
"Mont Gravet Rose Bottle","P03-2026",7.1000
"Spiked Lassi","P03-2026",1.2100
"Cardamom Mint Julep","P03-2026",2.4900
"Cotton + Reed White Rum","P03-2026",1.3200
"Masala Chai","P03-2026",1.6000
"Masala Chai - Oat Milk","P03-2026",1.9300
"Garlic Naan","P03-2026",0.5900
"Cucumber Raita","P03-2026",0.4300
