"period","menu","item_name","item_name_updated","menu_group","category_1","category_2","avg_cost","loaded_at"
"P01-2026","IN-HOUSE","Chicken Tikka Masala - In House","Chicken Tikka Masala","PLATES","Chicken Tikka Masala","Plates",3.2400,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Aloo Gobhi - In House","Aloo Gobhi","PLATES","Aloo Gobhi","Plates",2.2600,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Butter Chicken - In House","Butter Chicken","PLATES","Butter Chicken","Plates",3.3500,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Paneer Butter Masala - In House","Paneer Butter Masala","PLATES","Paneer Butter Masala","Plates",3.7900,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Masala Chai Cookies","Masala Chai Cookies","SWEETS","Masala Chai Cookies","Masala Chai Cookies",0.3300,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Swirl Soft Serve","Swirl Soft Serve","SWEETS","Soft Serve","Soft Serve",0.9500,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Masala Chai Soft Serve","Masala Chai Soft Serve","SWEETS","Soft Serve","Soft Serve",1.3100,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Vanilla Mango Lassi Soft Serve","Vanilla Mango Lassi Soft Serve","SWEETS","Soft Serve","Soft Serve",1.0000,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Chocolate Chai Soft Serve","Chocolate Chai Soft Serve","SWEETS","Soft Serve","Soft Serve",0.9000,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Mango Lassi Soft Serve","Mango Lassi Soft Serve","SWEETS","Soft Serve","Soft Serve",0.9100,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Indian Yogurt","Indian Yogurt","SWEETS","Indian Yogurt","Indian Yogurt",0.9000,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Kids BYO - In House","Kids Meal","KIDS","Kids Meal","KIDS",0.9600,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Bag","#N/A","BAG TAX","#N/A","#N/A",,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Olipop - Lemon Lime","Olipop - Lemon Lime","DRINKS","Olipop","Olipop",1.9300,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Icaro - Spearmint Yerba Mate","Icaro - Spearmint Yerba Mate","DRINKS","Icaro - Spearmint Yerba Mate","Icaro - Spearmint Yerba Mate",2.1200,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Wild Kombucha - Mango Peach","Wild Kombucha - Mango Peach","DRINKS","Kombucha","Kombucha",2.4800,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Side of Sauce","Side of Sauce","SIDES","Side of Sauce","Side of Sauce",,"2026-06-24 10:52:38.141736+00"
"P03-2026","DRINKS - IN HOUSE","Maine Root Fountain Soda - In House","Maine Root Fountain Soda","Cold Drinks","Maine Root Fountain Soda","Canned Soda",0.3600,"2026-06-24 10:52:39.441597+00"
"P01-2026","IN-HOUSE","Rupee Lager","Rupee Lager","Beer","Rupee Lager","Rupee Lager",1.9500,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","DC Brau Pils","DC Brau Pils","Beer","DC Brau Pils","DC Brau Pils",1.5500,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Pabst Blue Ribbon","Pabst Blue Ribbon","Beer","Pabst Blue Ribbon","Pabst Blue Ribbon",0.9900,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","Kingfisher","Kingfisher","Beer","Kingfisher","Kingfisher",1.5200,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","White Claw Ruby Grapefruit","White Claw Ruby Grapefruit","Beer","White Claw Ruby Grapefruit","White Claw Ruby Grapefruit",1.4900,"2026-06-24 10:52:38.141736+00"
"P01-2026","IN-HOUSE","White Claw Black Cherry","White Claw Black Cherry","Beer","White Claw Black Cherry","White Claw Black Cherry",1.4600,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Butter Chicken Burrito","Butter Chicken Burrito","INDIAN BURRITOS","Butter Chicken Burrito","Burritos",1.0300,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","BYO Indian Burrito","BYO Indian Burrito","INDIAN BURRITOS","BYO Indian Burrito","Burritos",1.0300,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","BYO Greens + Grains Bowl","BYO Greens + Grains Bowl","BUILD YOUR OWN BOWL","BYO Bowl","Bowls",0.6100,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Samosa Chaat","Samosa Chaat","SIDES","Samosa Chaat","Samosa Chaat",2.3700,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Side of Veggie","Side of Veggie","SIDES","Side of Veggie","Side of Veggie",,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","That Fire Hot Sauce - Side","That Fire Hot Sauce - Side","SIDES","That Fire Hot Sauce - Side","That Fire Hot Sauce - Side",0.4400,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Garlic Naan","Garlic Naan","SIDES","Garlic Naan","Garlic Naan",0.6000,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Side of Main","Side of Main","SIDES","Side of Main","Side of Main",,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Cucumber Raita","Cucumber Raita","SIDES","Cucumber Raita","Cucumber Raita",0.4800,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Side of Grain","Side of Grain","SIDES","Side of Grain","Side of Grain",,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Chips + Chutney","Chips + Chutney","SIDES","Chips + Chutney","Chips + Chutney",0.7400,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","That Fire Hot Sauce (Bottle)","That Fire Hot Sauce (Bottle)","SIDES","That Fire Hot Sauce (Bottle)","That Fire Hot Sauce (Bottle)",3.4000,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Chicken Tikka Masala","Chicken Tikka Masala","CLASSIC INDIAN PLATES","Chicken Tikka Masala","Plates",3.1300,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Saag Paneer","Saag Paneer","CLASSIC INDIAN PLATES","Saag Paneer","Plates",2.7000,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Paneer Butter Masala","Paneer Butter Masala","CLASSIC INDIAN PLATES","Paneer Butter Masala","Plates",3.6700,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Aloo Gobhi","Aloo Gobhi","CLASSIC INDIAN PLATES","Aloo Gobhi","Plates",2.1400,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Homemade Juice","Homemade Juice","DRINKS","Homemade Juice","Homemade Juice",,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Olipop Cola","Olipop Cola","DRINKS","Olipop","Olipop",1.9500,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Open Water Sparkling Water","Open Water Sparkling Water","DRINKS","Open Water Sparkling Water","Water",1.1700,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Open Water Still Water","Open Water Still Water","DRINKS","Open Water Still Water","Water",1.1700,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Spindrift - Grapefruit","Spindrift - Grapefruit","DRINKS","Spindrift","Spindrift",1.1200,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Masala Chai - Oat Milk","Masala Chai - Oat Milk","DRINKS","Masala Chai","Masala Chai",1.8300,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Spindrift - Lemon","Spindrift - Lemon","DRINKS","Spindrift","Spindrift",1.1200,"2026-06-24 10:52:38.141736+00"
"P01-2026","LOYALTY","Masala Chai","Masala Chai","DRINKS","Masala Chai","Masala Chai",1.5000,"2026-06-24 10:52:38.141736+00"
