"period","recipe_name","clean_name","portion_unit","cogs_account","total_cost","cost_per_portion","loaded_at"
"P02-2026","MI Masala Chai Cookies - 100","Masala Chai Cookies - 100","Each",,15.1628,15.1628,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Masala Chai Cookies - 20","Masala Chai Cookies - 20","Each",,3.0326,3.0326,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Masala Chai Cookies - 30","Masala Chai Cookies - 30","Each",,4.5488,4.5488,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Masala Chai Cookies - 50","Masala Chai Cookies - 50","Each",,7.5814,7.5814,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Masala Gin + Tonic","Masala Gin + Tonic","Each",,2.6524,2.6524,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Masala Gin + Tonic 1 jar","Masala Gin + Tonic 1 jar","Each",,7.2511,7.2511,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Masala Gin + Tonic Growler","Masala Gin + Tonic Growler","Each",,14.4091,14.4091,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Masala Quinoa","Masala Quinoa","Each",,0.3120,0.3120,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Masala Quinoa - Catering - Additional Item","Masala Quinoa - Catering - Additional Item","Each",,2.4536,2.4536,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Masala Quinoa - Classic","Masala Quinoa - Classic","Each",,0.1420,0.1420,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Masala Quinoa - Desi Deluxe","Masala Quinoa - Desi Deluxe","Each",,0.1326,0.1326,"2026-06-24 10:52:32.052209+00"
